L,g,E_p0,E_p1,E_p2,E_m0,E_m1,E_m2,Mx
   8, 1.30344703838640E+00,-1.20519458754220E+01,-9.89595663269196E+00,-8.36522818805966E+00,-1.13982543946385E+01,-1.01551520364340E+01,-1.01551520364340E+01,-6.22529439019531E-01
   8, 1.45653857938074E+00,-1.30833396321577E+01,-1.04598388576395E+01,-8.93841557047254E+00,-1.21468029085577E+01,-1.09991539621372E+01,-1.09991539621372E+01,-5.72022655324214E-01
   8, 1.67478104814623E+00,-1.46265425286042E+01,-1.12553713479263E+01,-9.76412226249088E+00,-1.32674803023955E+01,-1.22200497103921E+01,-1.22200497103921E+01,-5.24154881542954E-01
   8, 2.00000000000000E+00,-1.70181644702805E+01,-1.24496078142591E+01,-1.10086928476664E+01,-1.50152527752790E+01,-1.40680012588632E+01,-1.40680012588632E+01,-4.81746336119038E-01
   9, 0.00000000000000E+00,-9.00000000000001E+00,-5.00000000000001E+00,-5.00000000000000E+00,-9.00000000000000E+00,-5.00000000000001E+00,-5.00000000000001E+00,-1.00000000000000E+00
   9, 2.18242468765491E-01,-9.10749010253887E+00,-5.91382612449536E+00,-5.68924404043283E+00,-9.10748967041697E+00,-5.85487672532290E+00,-5.85487672532289E+00,-9.93918389792779E-01
   9, 3.71334009759827E-01,-9.31304615014536E+00,-6.65971831011352E+00,-6.23531976745774E+00,-9.31299661359901E+00,-6.54705966511797E+00,-6.54705966511796E+00, 9.81624530765452E-01
   9, 4.83590544643172E-01,-9.53462567630665E+00,-7.25425068152274E+00,-6.66207647277467E+00,-9.53411722205142E+00,-7.09708163869681E+00,-7.09708163869680E+00,-9.67249845703786E-01
   9, 5.69634542146905E-01,-9.74733012155787E+00,-7.73170809347225E+00,-7.00187821312981E+00,-9.74522003047681E+00,-7.54023800673107E+00,-7.54023800673106E+00,-9.52153837532816E-01
   9, 6.38575614518591E-01,-9.94653354287010E+00,-8.12379174040261E+00,-7.28107803599248E+00,-9.94093065160849E+00,-7.90747253620885E+00,-7.90747253620885E+00, 9.36657640773663E-01
   9, 6.96316574356964E-01,-1.01347197883997E+01,-8.45562632624390E+00,-7.51917733957104E+00,-1.01231390953341E+01,-8.22265525498839E+00,-8.22265525498837E+00, 9.20634091229613E-01
   9, 7.46868589480215E-01,-1.03168500580166E+01,-8.74632716170727E+00,-7.73053991482679E+00,-1.02962679546242E+01,-8.50385798099390E+00,-8.50385798099390E+00,-9.03726773628007E-01
   9, 7.93132405742996E-01,-1.04989474956548E+01,-9.01055144581357E+00,-7.92616902973998E+00,-1.04656664650636E+01,-8.76521503916761E+00,-8.76521503916759E+00,-8.85418520194392E-01
   9, 8.37390524073114E-01,-1.06879792818149E+01,-9.26001010885718E+00,-8.11514304366035E+00,-1.06372837564551E+01,-9.01859478263091E+00,-9.01859478263087E+00,-8.65033661304112E-01
   9, 8.81648642403232E-01,-1.08923858027472E+01,-9.50474387852039E+00,-8.30578309278411E+00,-1.08179511060725E+01,-9.27504742309689E+00,-9.27504742309689E+00, 8.41717189909993E-01
